review,rating,date,bank,source
"This app is very unreliable—slow, frequently crashes, and fails to sync properly. Transactions don’t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn’t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",1,2026-04-02,Commercial Bank of Ethiopia,Google Play
not working,5,2026-04-01,Commercial Bank of Ethiopia,Google Play
it's fast and easy nice,5,2026-04-01,Commercial Bank of Ethiopia,Google Play
girms,5,2026-04-01,Commercial Bank of Ethiopia,Google Play
"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",5,2026-04-01,Commercial Bank of Ethiopia,Google Play
very excellent application the number one bank of Ethiopia thanks,5,2026-03-31,Commercial Bank of Ethiopia,Google Play
I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,3,2026-03-31,Commercial Bank of Ethiopia,Google Play
"very nice app, but charge more.",5,2026-03-31,Commercial Bank of Ethiopia,Google Play
Why mobile Banking is not functional?,2,2026-03-31,Commercial Bank of Ethiopia,Google Play
does this app support international transactions,3,2026-03-31,Commercial Bank of Ethiopia,Google Play
i use CBE almost more than 5 years,3,2026-03-30,Commercial Bank of Ethiopia,Google Play
this app essential app on this time,5,2026-03-30,Commercial Bank of Ethiopia,Google Play
"After update not working at all, I live in abroad.",1,2026-03-30,Commercial Bank of Ethiopia,Google Play
it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,1,2026-03-30,Commercial Bank of Ethiopia,Google Play
best bank ever,5,2026-03-30,Commercial Bank of Ethiopia,Google Play
Pleas allow self service on Mobile banking.,5,2026-03-29,Commercial Bank of Ethiopia,Google Play
saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,1,2026-03-29,Commercial Bank of Ethiopia,Google Play
